Run_RNA,Run_epi,BC_epi,BC_RNA,Exp,Plate,Well,FSC.A,FSC.W,FSC.H,SSC.A,SSC.W,SSC.H,CD29_Yel.Gr.C.610_20.A,EpCAM_Yel.Gr.A.780_60.A,Live_dead_Red.A.780_60.A,Lin_Violet.E.525_50.A,Sca1_Violet.C.670_30.A,Tspan8_UV.C.379_28.A,facs_phenotype,facs_phenotype_expanded
P108,N253,p2-I07-luminal-Sca1-neg-K27-F9739,P108T0193_luminal-Sca1-neg,exp4,p2,I07,158578.7031,89490.4375,116131,58466.10156,84847.64063,45159,10625.98984,66545.99939,-873.8787589,400.3202368,725.3725465,78722.32233,luminal,luminal-Sca1-neg
P108,N253,p2-J07-luminal-Sca1-pos-K27-F9739,P108T0194_luminal-Sca1-pos,exp4,p2,J07,175504.2813,97155.48438,118386,208519.2969,94760.59375,144211,9915.532748,52890.13703,-460.7249825,1776.496773,55733.16389,6965.057761,luminal,luminal-Sca1-pos
P108,N253,p2-K07-luminal-Sca1-neg-K27-F9739,P108T0195_luminal-Sca1-neg,exp4,p2,K07,137420.5,95680.15625,94126,197267.4063,96886.27344,133436,15188.25345,36194.69684,-211.6863649,962.2708753,803.1001983,1930.704461,luminal,luminal-Sca1-neg
P108,N253,p2-L07-basal-Tspan8-pos-K27-F9739,P108T0196_basal-Tspan8-pos,exp4,p2,L07,86843.67969,86408.57031,65866,228536,83599.875,179155,95215.38439,17356.81298,347.0900239,746.148512,-63.7248279,3048.76373,basal,basal-Tspan8-pos
P108,N253,p2-A08-basal-Tspan8-neg-K27-F9689,P108T0197_basal-Tspan8-neg,exp4,p2,A08,90221.74219,92494.01563,63926,106581.2031,92642.92188,75396,105941.451,10968.49688,36.94794299,-306.31415,519.5308618,723.9083907,basal,basal-Tspan8-neg
P108,N253,p2-B08-basal-Tspan8-neg-K27-F9689,P108T0198_basal-Tspan8-neg,exp4,p2,B08,99119.16406,85237.625,76209,180620,91430.28125,129466,52875.70816,5806.692081,95.99110743,1884.400076,596.088574,1253.800711,basal,basal-Tspan8-neg
P108,N253,p2-C08-luminal-Sca1-neg-K27-F9689,P108T0199_luminal-Sca1-neg,exp4,p2,C08,97299.30469,99660.96875,63983,126172.2031,100512.0156,82267,16088.96085,37346.22723,-55.52734694,726.9456987,469.1275083,32679.16841,luminal,luminal-Sca1-neg
P108,N253,p2-D08-luminal-Sca1-neg-K27-F9689,P108T0200_luminal-Sca1-neg,exp4,p2,D08,132718.4688,93574.42969,92951,155493.7969,90877.35938,112134,18081.59253,85109.38501,-9.761070462,919.6834451,1223.416863,20471.35104,luminal,luminal-Sca1-neg
P108,N253,p2-E08-luminal-Sca1-pos-K27-F9689,P108T0201_luminal-Sca1-pos,exp4,p2,E08,116164.3047,93780.875,81178,180567.2031,89538.32031,132163,20526.58334,64176.66647,-104.4122958,764.2647177,4032.955067,9810.388925,luminal,luminal-Sca1-pos
P108,N253,p2-F08-luminal-Sca1-pos-K27-F9689,P108T0202_luminal-Sca1-pos,exp4,p2,F08,136699.2188,92081.70313,97291,122522.4063,94485.10938,84983,45753.39641,88917.21676,-214.8873834,-102.0741299,2795.137906,23706.81172,luminal,luminal-Sca1-pos
P108,N253,p2-G08-basal-Tspan8-pos-K27-F9689,P108T0203_basal-Tspan8-pos,exp4,p2,G08,116236.8203,83701.75,91010,164841.6094,80333.28906,134478,50419.51994,5135.704588,-38.21937099,-20.5559163,140.138805,3171.882811,basal,basal-Tspan8-pos
P108,N253,p2-H08-luminal-Sca1-pos-K27-F9739,P108T0204_luminal-Sca1-pos,exp4,p2,H08,226008.5781,110516.0938,134023,198588.5,108090.1016,120406,28483.99848,114051.9467,-1043.964372,1047.793458,7401.678602,12621.21512,luminal,luminal-Sca1-pos
P108,N253,p2-I08-luminal-Sca1-neg-K27-F9739,P108T0205_luminal-Sca1-neg,exp4,p2,I08,96473.16406,81129.00781,77931,93395.5,80465.47656,76067,6198.348293,38968.43789,-183.0061584,-226.7878136,533.937859,73777.48497,luminal,luminal-Sca1-neg
P108,N253,p2-J08-luminal-Sca1-pos-K27-F9739,P108T0206_luminal-Sca1-pos,exp4,p2,J08,175012.3281,88939.95313,128959,96734,84407.03906,75107,15398.8976,39705.85204,-338.3070566,179.581433,1819.845428,49105.46889,luminal,luminal-Sca1-pos
P108,N253,p2-K08-luminal-Sca1-neg-K27-F9739,P108T0207_luminal-Sca1-neg,exp4,p2,K08,30304.54102,78776.65625,25211,53533.69922,90303.58594,38851,2320.00355,10132.12117,-185.3927269,178.6393698,1012.15126,196.5550142,luminal,luminal-Sca1-neg
P108,N253,p2-L08-basal-Tspan8-pos-K27-F9739,P108T0208_basal-Tspan8-pos,exp4,p2,L08,120318.5234,95136.46094,82883,102301.1016,98724.85938,67910,25963.40464,1822.371576,238.3206324,2449.39889,-13.49950541,44894.0666,basal,basal-Tspan8-pos
P108,N253,p2-A09-basal-Tspan8-neg-K27-F9689,P108T0209_basal-Tspan8-neg,exp4,p2,A09,184691.7813,96351.46875,125623,95649.39844,96794.04688,64761,69993.84225,4853.524176,71.53302399,305.4772678,-31.5749976,-118.3993551,basal,basal-Tspan8-neg
P108,N253,p2-B09-basal-Tspan8-neg-K27-F9689,P108T0210_basal-Tspan8-neg,exp4,p2,B09,134016.9688,110219.3125,79686,139981.6094,116339.5078,78854,71933.13287,1748.228263,125.9243497,368.7433289,-31.04156206,17.86944772,basal,basal-Tspan8-neg
P108,N253,p2-C09-luminal-Sca1-neg-K27-F9689,P108T0211_luminal-Sca1-neg,exp4,p2,C09,149158.9375,95051.4375,102842,153432.4063,100119.9453,100433,26226.97643,86696.73382,-47.54811067,-102.4539285,713.0333953,16084.30296,luminal,luminal-Sca1-neg
P108,N253,p2-D09-luminal-Sca1-neg-K27-F9689,P108T0212_luminal-Sca1-neg,exp4,p2,D09,75028.80469,95170.67188,51666,104827.8047,92312.58594,74421,30130.06867,27688.14293,-17.40890675,-50.50996899,31.65782986,4868.261367,luminal,luminal-Sca1-neg
