"","FSC.A","FSC.H","FSC.W","BSC.A","BSC.H","BSC.W","DAPI","H2Db","HLA","Well","Annot","CB"
"2855",526204.3,133651.8,448,87558.68,22864.8,448,119.6189,20740.33,-28.05511,NA,"not_sorted",NA
"2856",463817,130103.7,402,109191.3,31782.24,402,186.4081,123342.2,548.3746,NA,"not_sorted",NA
"2857",655044.3,143608.6,544,246159.7,66410.4,544,33.4925,233369.1,2119.595,NA,"not_sorted",NA
"2858",312318.7,98165.76,331,79923.34,23968,331,168.0145,30152.93,-454.4852,NA,"not_sorted",NA
"2859",358267,107067.5,354,109196.9,34017.76,354,210.9131,18674.41,41.27013,NA,"not_sorted",NA
"2860",267386.5,90144.32,301,51956.77,17510.08,301,64.64029,66156.27,210.6561,NA,"not_sorted",NA
"2861",372923,111612.5,359,75428.59,22123.36,359,249.7456,26183.29,-129.5311,NA,"not_sorted",NA
"2862",350365.3,112853.4,340,63210.34,19608.96,340,72.61647,578.545,-5.180917,NA,"not_sorted",NA
"2863",500495.8,131270.7,424,98364.98,25172,424,362.4125,60301.07,-367.9778,NA,"not_sorted",NA
"2864",428864.6,143619.8,359,89691.85,29076.32,359,43.67488,115538.2,833.2812,NA,"not_sorted",NA
"2865",444931.7,147602.6,361,139202.6,42685.44,361,21.9951,126895.1,436.2124,NA,"not_sorted",NA
"2866",311832.6,87967.04,341,94643.13,24559.36,341,129.9114,100989.9,169.757,NA,"not_sorted",NA
"2867",331387.2,111785,327,78962.77,26286.4,327,144.3813,45845.75,466.0839,NA,"not_sorted",NA
"2868",308344,91640.64,336,75393.83,23976.96,336,75.52502,25045.36,-155.4678,NA,"not_sorted",NA
"2869",302145.5,89817.28,335,94617.59,28539.84,335,211.9166,35430.64,-633.7756,NA,"not_sorted",NA
"2870",464469.1,130415,397,92969.23,26211.36,397,143.7326,2109.101,35.9306,NA,"not_sorted",NA
"2871",417379.1,99350.72,410,83069.85,22470.56,410,161.7886,18707.82,-359.4262,NA,"not_sorted",NA
"2872",309650.8,82631.36,351,124586.1,33442.08,351,210.5574,1993.746,60.90979,NA,"not_sorted",NA
"2873",635378.1,147239.7,481,287985.2,67590.88,481,282.386,37891.55,376.0755,NA,"not_sorted",NA
"2874",384922.5,113299.2,367,98172.06,29077.44,367,13.2103,85953.24,-46.73423,NA,"not_sorted",NA
"2875",276025.9,91562.24,306,73158.22,21565.6,306,88.11718,16054.04,110.5813,NA,"not_sorted",NA
"2876",391519.8,125337,357,107209,32206.72,357,129.5177,120221.7,890.666,NA,"not_sorted",NA
"2877",339846,113491.8,334,80021.98,24329.76,334,103.6498,88972.7,120.2055,NA,"not_sorted",NA
"2878",688623,141624,507,149866.9,35230.72,507,195.0429,300.9849,735.7071,NA,"not_sorted",NA
"2879",342335.4,81345.6,383,96334.67,21920.64,383,62.30093,1009.609,-65.40992,NA,"not_sorted",NA
"2880",264761.9,99529.92,288,44081.07,16019.36,288,-7.851534,9274.308,71.29572,NA,"not_sorted",NA
"2881",587208.8,140604.8,456,136705.6,36505.28,456,203.7368,261919.5,1718.274,NA,"not_sorted",NA
"2882",403386.6,101832.6,399,112863.9,25248.16,399,254.8192,504.8583,16.61415,NA,"not_sorted",NA
"2883",220287.9,85064,262,29747.41,11080.16,262,0.7068761,812.4054,45.43808,NA,"not_sorted",NA
"2884",493999,123153,431,140823.5,35814.24,431,149.6191,23235.48,-69.47391,NA,"not_sorted",NA
"2885",269178.3,91698.88,299,34845.17,11748.8,299,114.5193,6951.777,17.1249,NA,"not_sorted",NA
"2886",369837.1,112600.3,364,98856.45,30029.44,364,65.35755,15671.56,-96.01796,NA,"not_sorted",NA
"2887",788305.3,167339.2,543,265513.3,56654.08,543,616.4005,27791.63,1590.287,NA,"not_sorted",NA
"2888",517753.4,146001,407,186704.9,50552.32,407,328.8583,57019.98,-28.12057,NA,"not_sorted",NA
