Exp,Run_RNA,Run_epi,BC_RNA,plateform_code_rna,bio_name_rna,Well,BC_epi,Plate,Well,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,FITC-A,Tomato-A,APC-A,APC-Cy7-A,DAPI-A,Alexa Fluor 700-A,facs_phenotype
exp6,N248,N232,N248T0195_p1-Day0-BCP13-cell,T0195_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D05,D05,p1-Day0-BCP13-cell-K4-D05,p1,D05,28906.15039,93499.5,20261,45656.92969,97433.16406,30710,4577.130461,69.23063712,828.4031058,1320.357189,1080.171897,6909.772657,basal
exp6,N248,N232,N248T0196_p1-Day0-BCP13-cell,T0196_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D06,D06,p1-Day0-BCP13-cell-K4-D06,p1,D06,37347.3125,91762.95313,26673,63570.89063,106399.5781,39156,5463.923657,136.7906291,326.2721999,609.3714034,3591.836816,2158.440014,basal
exp6,N248,N232,N248T0197_p1-Day0-BCP13-cell,T0197_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D07,D07,p1-Day0-BCP13-cell-K4-D07,p1,D07,52004.67969,94771.66406,35962,56555.85156,112870.5859,32838,6732.816439,112.9462004,1391.895067,1650.168766,2568.940152,5424.72054,basal
exp6,N248,N232,N248T0198_p1-Day0-BCP13-cell,T0198_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D08,D08,p1-Day0-BCP13-cell-K4-D08,p1,D08,92028.30469,145511.6563,41448,189986.1406,139279.9688,89395,34928.28976,303.180191,851.1583678,3726.358009,3137.844668,19828.15202,basal
exp6,N248,N232,N248T0199_p1-Day0-BCP13-cell,T0199_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D09,D09,p1-Day0-BCP13-cell-K4-D09,p1,D09,24513.58008,100294.7969,16018,75414.59375,83993.9375,58842,12067.0851,41.1240818,295.09404,1002.709067,767.9943921,7284.986917,basal
exp6,N248,N232,N248T0200_p1-Day0-BCP13-cell,T0200_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D10,D10,p1-Day0-BCP13-cell-K4-D10,p1,D10,30171.96094,79577.82031,24848,61414.58203,80205.375,50182,13858.65479,100.5037943,-37.62837378,1432.57901,736.4170682,5102.213961,basal
exp6,N248,N232,N248T0201_p1-Day0-BCP13-cell,T0201_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D11,D11,p1-Day0-BCP13-cell-K4-D11,p1,D11,66712.10156,100947.6875,43310,72540.48438,106532.5078,44625,5143.037799,237.5900405,1316.186724,1888.343222,3362.617856,7498.419193,basal
exp6,N248,N232,N248T0202_p1-Day0-BCP13-cell,T0202_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D12,D12,p1-Day0-BCP13-cell-K4-D12,p1,D12,43146.74219,85466.67969,33085,32637.5918,81573.44531,26221,8262.83762,58.65827195,277.0466837,785.4393582,459.4976237,3100.185396,basal
exp6,N248,N232,N248T0211_p1-Day0-BCP13-cell,T0211_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E01,E01,p1-Day0-BCP13-cell-K4-E01,p1,E01,47285.42188,102024.6719,30374,63191.62109,99678.10156,41547,7425.081702,132.0821859,612.6703438,1155.3486,4803.438131,3951.038636,basal
exp6,N248,N232,N248T0212_p1-Day0-BCP13-cell,T0212_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E02,E02,p1-Day0-BCP13-cell-K4-E02,p1,E02,49744.24219,92612.10156,35201,31017.69141,97965.07813,20750,10916.90963,103.1696896,559.6874577,1302.787303,2357.633037,4861.375959,basal
exp6,N248,N232,N248T0213_p1-Day0-BCP13-cell,T0213_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E03,E03,p1-Day0-BCP13-cell-K4-E03,p1,E03,54630.03125,117999.8594,30341,98614.08594,105967.9375,60988,19158.91176,158.4708023,1490.405209,2697.937368,1945.455859,15301.01258,basal
exp6,N248,N232,N248T0214_p1-Day0-BCP13-cell,T0214_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E04,E04,p1-Day0-BCP13-cell-K4-E04,p1,E04,86500.96094,123031.6094,46077,79056.94531,116643.6172,44418,16920.22468,177.6059959,973.9346442,2878.385189,3013.664859,11307.49175,basal
exp6,N248,N232,N248T0215_p1-Day0-BCP13-cell,T0215_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E05,E05,p1-Day0-BCP13-cell-K4-E05,p1,E05,32533.41016,85445.03125,24953,99771.28906,79222.28906,82535,5865.093659,155.2034918,453.5539147,845.1710575,905.7303543,5407.964871,basal
exp6,N248,N232,N248T0216_p1-Day0-BCP13-cell,T0216_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E06,E06,p1-Day0-BCP13-cell-K4-E06,p1,E06,53254.11328,90089.35938,38740,82553.78906,88382.47656,61214,10752.24416,333.0563091,2713.880716,963.2156328,1387.290918,1280.504638,basal
exp6,N248,N232,N248T0217_p1-Day0-BCP13-cell,T0217_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E07,E07,p1-Day0-BCP13-cell-K4-E07,p1,E07,40153.75,92418.21875,28474,57130.08984,85812.32813,43631,7817.25832,46.20357722,746.2302562,1119.145359,1316.150486,6839.353431,basal
exp6,N248,N232,N248T0218_p1-Day0-BCP13-cell,T0218_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E08,E08,p1-Day0-BCP13-cell-K4-E08,p1,E08,41900.04297,82295.71875,33367,44211.63281,82619.15625,35070,5580.134492,70.59240901,87.46467385,759.6363524,544.1475988,2515.320853,basal
exp6,N248,N232,N248T0219_p1-Day0-BCP13-cell,T0219_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E09,E09,p1-Day0-BCP13-cell-K4-E09,p1,E09,60751.60156,110300.7813,36096,84985.58594,137433.1406,40526,10110.95995,135.7765548,383.720654,2246.935689,1479.704904,8323.185267,basal
exp6,N248,N232,N248T0220_p1-Day0-BCP13-cell,T0220_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E10,E10,p1-Day0-BCP13-cell-K4-E10,p1,E10,29160.95117,79121.14844,24154,126807.1328,79585.07031,104422,5713.548158,358.1797008,223.9389419,695.652695,1279.503553,4971.374179,basal
exp6,N248,N232,N248T0221_p1-Day0-BCP13-cell,T0221_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E11,E11,p1-Day0-BCP13-cell-K4-E11,p1,E11,72771.78906,113056.4219,42184,85756.73438,129130.6563,43523,7223.785657,189.4862939,408.719547,2545.560226,2729.025209,8910.352617,basal
exp6,N248,N232,N248T0222_p1-Day0-BCP13-cell,T0222_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-E12,E12,p1-Day0-BCP13-cell-K4-E12,p1,E12,53663.61328,102375.2969,34353,107368.3359,108157.2031,65058,22146.76936,200.2159605,226.9621259,3666.932633,1855.390844,6257.596294,basal
