Type	Gene
Luminal H-S	Rab25
Luminal H-S	Tnfaip8
Luminal H-S	Chchd10
Luminal H-S	Epn2
Luminal H-S	Isg20
Luminal H-S	Mien1
Luminal H-S	Dhcr24
Luminal H-S	Tspan17
Luminal H-S	Tmem123
Luminal H-S	Lcp1
Luminal H-S	B2m
Luminal H-S	Tmbim4
Luminal H-S	Pnrc1
Luminal H-S	Syngr2
Luminal H-S	Prom2
Luminal H-S	Hacd4
Luminal H-S	Tpd52
Luminal H-S	Mrpl14
Luminal H-S	Ndufa13
Luminal H-S	Snhg11
Luminal H-S	Micos13
Luminal H-S	Rell1
Luminal H-S	Ptbp3
Luminal H-S	Apc
Luminal H-S	Epcam
Luminal H-S	Mgst3
Luminal H-S	Tmc4
Luminal H-S	Lpin2
Luminal H-S	Aldh3a2
Luminal H-S	Ddt
Luminal H-S	Plaat3
Luminal H-S	Iqgap2
Luminal H-S	Ifi35
Luminal H-S	AC149090.1
Luminal H-S	Gadd45g
Luminal H-S	Tnfrsf21
Luminal H-S	Diaph1
Luminal H-S	Micos10
Luminal H-S	Elovl7
Luminal H-S	Cadps2
Luminal H-S	Tagln2
Luminal H-S	Cox8a
Luminal H-S	Mcph1
Luminal H-S	Psme2
Luminal H-S	Mtus1
Luminal H-S	Bik
Luminal H-S	Tead2
Luminal H-S	Vmp1
Luminal H-S	Ormdl2
Luminal H-S	Tmem159
Luminal H-S	Ppfibp2
Luminal H-S	Cd200
Luminal H-S	Kank3
Luminal H-S	Grk3
Luminal H-S	Gns
Luminal H-S	Psme1
Luminal H-S	Cxxc5
Luminal H-S	Anxa2
Luminal H-S	Sipa1l3
Luminal H-S	Bsg
Luminal H-S	Kcnh1
Luminal H-S	Cox7a2
Luminal H-S	Sgsm3
Luminal H-S	Atox1
Luminal H-S	Cenpv
Luminal H-S	Gadd45a
Luminal H-S	Mir22hg
Luminal H-S	Fmo2
Luminal H-S	Cldn7
Luminal H-S	Serinc2
Luminal H-S	Grb14
Luminal H-S	Casz1
Luminal H-S	Srp14
Luminal H-S	Fdx1
Luminal H-S	Mgat5
Luminal H-S	Atp6v0e
Luminal H-S	Adck5
Luminal H-S	Amn1
Luminal H-S	Sqor
Luminal H-S	Atp8a1
Luminal H-S	Tapt1
Luminal H-S	Wdfy1
Luminal H-S	Dnajb4
Luminal H-S	Jund
Luminal H-S	Chmp3
Luminal H-S	Dnpep
Luminal H-S	Serinc3
Luminal H-S	Ttc39a
Luminal H-S	C77080
Luminal H-S	Dock5
Luminal H-S	Zfand6
Luminal H-S	Gdpd1
Luminal H-S	Gse1
Luminal H-S	Sdhaf4
Luminal H-S	Atf3
Luminal H-S	Fos
Luminal H-S	Hid1
Luminal H-S	Fbxw11
Luminal H-S	Tut7
Luminal H-S	Cox6b1
Luminal H-S	Stat5a
Luminal H-S	Erbb3
Luminal H-S	Ankrd33b
Luminal H-S	Tbc1d1
